ID,Group,Area,Name,Description,Phase,Comment,InScope,Coverage,InfoNeeded,DuplicateOf
1,Account & User Management,Account Hierarchy and Multitenancy ,Account Hierarchy and Multitenancy ,Global,1.1,September 2024,Y,,,
2,Account & User Management,"Split by Business Units (Companies, Company Hierarchies)","Split by Business Units (Companies, Company Hierarchies)",Global,1.1,September 2024,Y,,,
3,Account & User Management,"Granular Roles (e.g. Approver, Buyer with/without limits, Admin, etc.) & User Permissions (Purchase Limits, Approver rules and workflow)","Granular Roles (e.g. Approver, Buyer with/without limits, Admin, etc.) & User Permissions (Purchase Limits, Approver rules and workflow)",Global,1.1,September 2024,Y,,,
4,Account & User Management,Differentiated viewing experience (Authenticated login vs. Guest browsing),Differentiated viewing experience (Authenticated login vs. Guest browsing),Global,1.1,September 2024,Y,,,
5,Account & User Management,Differentiated viewing experience (end customer vs. channel partner),Differentiated viewing experience (end customer vs. channel partner),Global,1.1,September 2024,Y,,,
6,Account & User Management,Consent and Preference Management,Consent and Preference Management,Global,1.1,September 2024,Y,,,
7,Account & User Management,Self-service account settings personalization and access management,Self-service account settings personalization and access management,Global,1.1,September 2024,Y,,,
8,Account & User Management,Customer access management delegation,Customer access management delegation,Global,1.1,September 2024,Y,,,
9,Account & User Management,Customer impersonation/login for internal users ,Customer impersonation/login for internal users ,Global,1.1,September 2024,Y,,,
10,Catalog & Merchandising,"Compatibility and presentation of different product types: Products, Software, Solutions, Services (incl. Training)","Compatibility and presentation of different product types: Products, Software, Solutions, Services (incl. Training)",Global,1.1,September 2024,Y,,,
11,Catalog & Merchandising,"Product Catalog & Product Detail Page - Images, Video, Description, Technical Specifications (no price)","Product Catalog & Product Detail Page - Images, Video, Description, Technical Specifications (no price)",Global,1.1,September 2024,Y,,,
12,Catalog & Merchandising,Product Portfolio Hierarchy and Structure,Product Portfolio Hierarchy and Structure,Global,1.1,September 2024,Y,,,
13,Catalog & Merchandising,"Product Search (keyword, ID, serial number)","Product Search (keyword, ID, serial number)",Global,1.1,September 2024,Y,,,
14,Catalog & Merchandising,Product/Solution Selector,Product/Solution Selector,Global,1.1,September 2024,Y,,,
15,Catalog & Merchandising,Basic Product/Solution Finder (basic Guided Selling) - lead to sales created (for non-logged-in and beginner customers),Basic Product/Solution Finder (basic Guided Selling) - lead to sales created (for non-logged-in and beginner customers),Global,1.1,September 2024,Y,,,
16,Documentation Management,Searchability through generic platform search bar,Searchability through generic platform search bar,Global,1.1,September 2024,Y,,,
17,Documentation Management,"Supporting multiple types of files (PDF, CAD files, MP4)","Supporting multiple types of files (PDF, CAD files, MP4)",Global,1.1,September 2024,Y,,,
18,Documentation Management,Support of multiple languages,Support of multiple languages,Global,1.1,September 2024,Y,,,
